Date,Open,High,Low,Close,Volume
2023-08-01,165.2,193.27,103.09,118.05,4178
2023-08-02,122.43,186.61,122.43,150.31,7052
2023-08-03,171.22,171.22,171.22,156.07,3734
2023-08-04,123.72,123.72,123.72,154.75,7116
2023-08-05,132.54,137.65,132.54,104.42,4568
2023-08-06,174.65,181.06,131.9,185.38,3203
2023-08-07,164.96,198.73,95.75,122.36,2390
2023-08-08,184.92,184.92,125.2,108.34,2742
2023-08-09,165.76,165.76,165.76,186.54,2925
2023-08-10,156.83,156.83,90.49,193.43,1619
2023-08-11,109.37,196.99,109.37,183.8,2274
2023-08-12,136.77,184.21,131.81,178.38,1956
2023-08-13,126.52,183.83,126.52,162.49,2939
2023-08-14,124.4,146.87,124.4,151.74,4953
2023-08-15,197.3,197.3,126.37,103.96,1968
2023-08-16,139.31,139.31,126.43,137.07,1281
2023-08-17,189.2,189.2,167.44,133.39,7262
2023-08-18,163.11,186.47,137.48,121.75,2058
2023-08-19,179.48,181.29,113.58,169.51,5293
2023-08-20,150.26,199.97,137.51,146.08,6178
2023-08-21,157.69,199.66,104.79,103.35,7980
2023-08-22,149.25,155.54,108.52,117.68,2229
2023-08-23,119.52,176.9,119.52,165.38,5585
2023-08-24,172.25,194.48,133.99,102.84,9467
2023-08-25,128.08,184.96,128.08,182.67,3740
2023-08-26,102.43,124.73,102.43,146,3289
2023-08-27,164.55,164.55,150.96,144.5,2239
2023-08-28,117.71,117.71,117.71,156.02,6370
2023-08-29,194.05,195.41,91.37,179.94,1125
2023-08-30,195.39,195.39,159.67,130.82,8473
2023-08-31,191.49,191.49,108.69,164.84,6342
2023-09-01,137.02,167.17,137.02,153.27,8351
2023-09-02,101.55,161.81,101.55,122.5,7638
2023-09-03,192.83,192.83,133.54,185.5,7570
2023-09-04,142.82,142.82,98.96,177.13,4249
2023-09-05,196.67,196.67,194.67,162.82,8595
2023-09-06,196.36,196.36,142.73,182.61,7294
2023-09-07,185.3,185.3,152.52,184.33,7527
2023-09-08,129.44,152.02,97.04,167.96,6757
2023-09-09,138.51,185.22,138.51,181.21,2969
2023-09-10,185.11,185.11,112.04,166.84,1891
2023-09-11,131.69,156.09,131.69,165.05,5470
2023-09-12,116.95,187.67,111.54,158.72,8175
2023-09-13,155.68,155.68,110.02,172.53,9320
2023-09-14,193.62,193.62,93.84,111.34,7812
2023-09-15,169.6,169.6,139.57,185.73,8519
2023-09-16,157.01,175.51,149.31,184.8,5612
2023-09-17,109.72,162.03,96.9,98.01,2198
2023-09-18,161.5,170.41,161.5,180.06,6238
2023-09-19,199.01,199.01,137.6,108.27,7089
2023-09-20,114.01,114.01,114.01,129.52,7257
2023-09-21,151.83,151.83,136.28,171.58,8705
2023-09-22,187.74,187.74,132.08,111.56,4719
2023-09-23,174.08,174.08,148.76,179.25,1302
2023-09-24,169.7,169.7,106.3,180.71,1986
2023-09-25,170.25,170.25,109.1,147.27,5440
2023-09-26,135.95,190.42,135.95,95.66,5909
2023-09-27,129.36,134.83,129.36,124.56,4072
2023-09-28,180.94,180.94,129.2,158.54,4124
2023-09-29,181.01,181.01,118.43,196.06,9125
2023-09-30,186.71,186.71,157.62,160.08,4291
2023-10-01,191.32,191.32,132.92,121.76,5033
2023-10-02,151.13,186.24,92.67,160.3,6105
2023-10-03,150.15,194.95,106.4,150.62,1703
2023-10-04,179.83,179.83,165.18,175.32,9133
2023-10-05,165,192.66,159.19,106.02,1574
2023-10-06,170.2,170.2,92.85,173.39,6704
2023-10-07,179.58,179.58,113.31,150.75,8848
2023-10-08,189,189,114.26,194.19,6208
2023-10-09,133.8,198,133.8,130.21,7924
2023-10-10,137.56,149.26,92.07,160.16,4828
2023-10-11,109.4,132.88,100.93,191,4230
2023-10-12,157.83,163.34,157.83,105.56,1488
2023-10-13,103.59,124.01,103.59,191.53,8114
2023-10-14,146.56,146.56,146.56,165.85,4173
2023-10-15,154.26,154.26,115.01,101.99,2667
2023-10-16,128.65,128.65,100.44,126,5114
2023-10-17,159.08,159.08,115.53,167.94,4553
2023-10-18,103.05,113.88,103.05,101.94,8761
2023-10-19,103.73,164.09,103.73,154.96,2000
2023-10-20,182.26,182.26,177.17,130.63,2388
2023-10-21,136.02,136.02,131.7,158.95,6450
2023-10-22,112.71,189.68,112.71,99.71,4712
2023-10-23,152.22,152.22,111.52,184.77,2367
2023-10-24,177,177,120.78,195.27,9189
2023-10-25,121.58,121.58,121.58,194.79,1454
2023-10-26,162.29,162.29,91.37,172.21,3772
2023-10-27,108.53,108.53,98.98,108.4,4726
